Geo-ID	Place	% of Homes Built 2000 to 2009	% of Homes Built 1990 to 1999	% of Homes Built 1980 to 1989	% of Homes Built 1970 to 1979	% of Homes Built 1960 to 1969	% of Homes Built 1950 to 1959	% of Homes Built 1940 to 1949	% of Homes Built 1939 or earlier	% of Homes No bed rooms	% of Homes 1 bed rooms	% of Homes 2 bed rooms	% of Homes  3 bed rooms	% of Homes 4 bed rooms	% of Homes 5 or more bed rooms
16000us0607274	Bodfish	3	13	38	35	3	0	3	6	0	22	49	19	9	1
06000us0604190256	Bolinas	3	10	18	19	12	8	27	2	4	18	38	31	8	1
16000us0607372	Bombay Beach	10	5	35	7	43	0	0	0	0	26	57	11	7	0
16000us0607379	Bonadelle Ranchos-Madera Ranchos	21	29	24	3	2	1	0	21	0	1	4	67	23	3
16000us0607414	Bonita	7	16	41	16	13	3	1	4	2	5	16	28	40	10
16000us0607470	Bonny Doon	7	24	31	14	8	5	8	3	2	7	17	49	19	6
16000us0607498	Bonsall	14	37	25	5	2	1	2	14	1	5	29	34	26	6
16000us0607512	Boonville	10	9	11	18	17	6	29	0	7	12	52	22	6	0
16000us0607525	Bootjack	12	30	14	2	22	0	3	18	0	3	40	49	8	0
16000us0607578	Boronda	13	4	38	0	10	22	1	11	0	11	46	29	14	0
06000us0607390258	Borrego Springs	13	19	25	13	7	3	2	17	4	18	44	32	2	0
16000us0607624	Bostonia	7	21	36	12	15	4	1	5	0	9	46	37	7	0
16000us0607652	Boulder Creek	3	5	12	17	19	12	26	6	6	15	43	26	9	2
16000us0607694	Boulevard	39	8	8	0	14	14	16	0	0	16	51	33	0	0
16000us0607750	Bowles	0	12	52	0	12	0	24	0	16	0	36	16	32	0
16000us0607848	Boyes Hot Springs	6	25	21	14	18	8	6	2	2	16	40	36	6	1
16000us0607974	Bradley	0	5	21	0	19	33	12	10	0	10	57	24	10	0
06000us0602590260	Brawley	12	15	16	12	12	7	6	19	3	10	24	43	18	2
16000us0608100	Brea	6	18	32	19	12	1	3	9	4	13	23	30	26	5
16000us0608142	Brentwood	29	8	5	2	2	0	1	53	0	4	18	30	32	16
16000us0608172	Bret Harte	10	2	11	8	18	33	4	13	4	2	44	36	14	2
16000us0608240	Bridgeport	5	5	39	21	27	3	0	0	0	31	29	34	7	0
06000us0601390270	Briones	38	36	7	6	3	1	1	7	0	6	24	18	39	13
16000us0608310	Brisbane	12	10	16	13	7	16	15	11	7	18	35	26	10	4
16000us0608478	Brookdale	1	20	19	15	23	5	17	0	0	16	31	35	13	6
16000us0608530	Brooktrails	28	38	14	8	1	0	1	10	2	5	23	59	11	0
16000us0608680	Buckhorn	8	23	44	10	2	1	1	10	0	4	44	46	5	1
16000us0608758	Buellton	11	22	21	11	8	4	1	23	0	10	24	45	15	6
16000us0608786	Buena Park	4	8	18	20	40	4	2	4	2	7	30	37	20	4
16000us0608828	Buena Vista	47	47	0	0	0	0	0	0	0	0	15	85	0	0
16000us0608954	Burbank	6	10	11	11	19	23	15	5	4	26	36	26	7	2
16000us0609066	Burlingame	4	5	14	17	21	9	28	2	6	29	27	21	14	3
16000us0609122	Burney	7	23	25	21	3	13	6	1	0	12	34	45	9	1
16000us0609150	Burnt Ranch	18	13	27	17	5	0	2	18	4	17	28	37	14	0
05000us06007	Butte County	12	19	22	12	11	6	8	11	2	11	34	41	10	1
16000us0609310	Butte Creek Canyon	8	30	21	13	14	0	2	12	3	18	25	39	17	0
